ReviewTitle,ReviewBody,ReviewStar,Product,CleanedReviewBody,ReviewTitleLength,ReviewBodyLength,SentimentPolarity,SentimentSubjectivity,SentimentLabel,PredictedSentiment
"Running has become comfortable now
","The sound quality is good. I mean it can’t be compared with Senheiser or Bose but its worth the price.Perfect to use while running; the earbuds are so comfortable that you wouldn’t even feel they are plugged in.
",4,boAt Rockerz 255,sound qualiti good mean compar senheis bose worth use run earbud comfort even feel plug,35,212,0.27187500000000003,0.446875,positive,positive
"Disappointed
","What on earth is the use of buying such product when it stop working in one month....your happiness sailed off like a BoAt.... #Disappointed
",1,boAt Rockerz 255,earth use buy product stop work one month happi sail like boat disappoint,13,141,0.0,0.0,negative,negative
"Extremely good BT earphones!! Loud and Super BASS.
","Hey all, I have used quite a few budget earphones, Senn 180,213,soundmagic e18s, 1more piston, JBL t160, c150si, boat rockerz 225, compared the boat rockers 255 with all these earphones. Additionally I have a Philips basic, a Sony and a JBL headphone. I have bought these for my own use, a few friends and relatives. None of these can compare to the loudness bass and overall effect of these bt earphones. I'm obviously not an audiophile but I know the difference between a good sound and noise. The only concern I found was that the wires hang a lil low and the highs could have been sharper(nitpicking). Cant fault it otherwise. I have It paired with RN5 pro.
",5,boAt Rockerz 255,hey use quit budget earphon senn soundmag piston jbl boat rockerz compar boat rocker earphon addit philip basic soni jbl headphon bought use friend rel none compar loud bass overal effect bt earphon obvious audiophil know differ good sound nois concern found wire hang lil low high could sharper nitpick cant fault otherwis pair pro,51,662,0.15124999999999997,0.470625,positive,positive
"Product not good quality
","Product stopped working in a month time
",1,boAt Rockerz 255,product stop work month time,25,40,0.0,0.0,negative,negative
"Not at all expected this on 0th Day of purchase
","Right speaker is not working at all. Useless product.Big disappointment.
",1,boAt Rockerz 255,right speaker work useless disappoint,48,73,-0.10714285714285715,0.3678571428571429,negative,negative
"Good Earphones with good sound quality and build quality
","Received this BoAt 255 earphones yesterday evening.Sound quality is perfect. Good combination of Bass and treble. Can feel every beat.Connectivity is quick. Detects and connects easily.Battery life is good. Stayed around 10-11 hrs.As i received this yesterday evening. Have been playing since then. So its just the first day review. But performance is good.Earphones looks solid. Build quality is good. The magnates are really helpful to hold the earphones. Earphones looks great.Earphone wire could be bit long. But that's fine for me. Not sure about others.Didn't get chance to charge so not sure about the time to full charge.One thing i observed during my 10 hours play time that the music stopped playing itself in middle. Not sure it it gets disconnected or there is some technical problem.But overall performance was nice. Good experience.
",3,boAt Rockerz 255,receiv boat earphon yesterday qualiti perfect good combin bass trebl feel everi quick detect connect life good stay around receiv yesterday even play sinc first day review perform look solid build qualiti good magnat realli help hold earphon earphon look wire could bit long fine sure get chanc charg sure time full thing observ hour play time music stop play middl sure get disconnect technic overal perform nice good experi,57,847,0.440625,0.6218750000000001,neutral,positive
"Good Sound bad designed
","This sound and bass quality is good battery life good noise cancelling is good but its wire is too long and uncomfortable which is not looking good wire is starting from top its looking bad but anyway everything is ok
",4,boAt Rockerz 255,sound bass qualiti good batteri life good nois cancel good wire long uncomfort look good wire start top look bad anyway everyth ok,24,218,0.33,0.5366666666666667,positive,neutral
"Good product with decent pros
","The product is a good buy if you are looking for a decent Bluetooth earphones with a reputed brand.Sound quality 4/5)- pretty good with good amount of bass.Durability (4/5)- the material seems durable and the earphones are light weightBattery life (3.5/5)- It has a decent battery life of upto 5-6 hours playtime on 80% volume.Connectivity (3.5/5)- gets connected with seconds but sometimes gets disconnected within a small rangeCall quality (3/5)- call quality is decent, the person on the other end of the call can here you clearly however you need to place the mic exactly near your mouth. Sometimes the call gets distorted.
",3,boAt Rockerz 255,product good buy look decent bluetooth earphon reput qualiti pretti good good amount materi seem durabl earphon light weightbatteri life decent batteri life upto hour playtim get connect second sometim get disconnect within small rangecal qualiti call qualiti decent person end call clearli howev need place mic exactli near mouth sometim call get distort,30,628,0.285,0.53,neutral,neutral
"Below average product, don’t buy
","Below average product. Not happy at all.Pros : good sound qualityCons : very uncomfortable, silicon buds are not soft. Bought a memory foam bud pair to use it.Battery life is just ok. Once give a low battery alarm, dies within 2 minLittle heavy on earsNo return possible
",1,boAt Rockerz 255,averag product happi good sound qualitycon uncomfort silicon bud soft bought memori foam bud pair use life give low batteri alarm die within minlittl heavi earsno return possibl,33,271,0.30000000000000004,0.41250000000000003,negative,negative
"Overall good but not that worth
","he only problem is that as earpieces are of metal so they are heavier than a normal wired earpiece And that makes u feel uncomfortable as u start to feel heavier in ur ears and the earbuds are too sleepery, so heavy earpiece with sleepery earbuds will make u irritate. And seems like boat just focussed on bass for these earphones. Note my words just and just bass, too much bass for long time will surely give u headache. I bought these for 999/- but i don't think so they are worth that. My senhessier cx wired earphones are way too much better than these, way too much. So if u want to buy these then buy only for the sake of wireless feature and not for the sound and build quality.
",3,boAt Rockerz 255,problem earpiec metal heavier normal wire earpiec make u feel uncomfort u start feel heavier ur ear earbud sleeperi heavi earpiec sleeperi earbud make u irrit seem like boat focuss bass earphon note word bass much bass long time sure give u headach bought think worth senhessi cx wire earphon way much better way much u want buy buy sake wireless featur sound build qualiti,32,687,0.15499999999999997,0.4638888888888889,neutral,negative
"Budget friendly
","The product is great intially !But the real test is after 2 months of useSo reviewing the product after two months of usePros1 The earphones drives you a very rich sound quality inspite of being wireless2 The neck band makes it much more durable then the other earphones3 The flat wire is very durable and the magnets saves it from you loosing it4 The 45 degree tilted earbuds just fits right in most of the ears (you can check with other 45 degree tilted earphones for a day that weather you are comfortable with it or not )5 It comes with 2 pairs of extra buds the small and big while the medium one is already on itCons1 - The connectivity of dual phones is not that easy as shown.(>Connect the earphone to phone A as usual>Disconnect it from the phone A by switching off the Bluetooth on phone A>Now connect the earphone to phone B>Switch off the earphone and switch it on back>Open the Bluetooth settings on phone A and B>From the paired device list select boAt rockers 255 on both the device at the same time.On the earphones you will get to hear YOU ARE NOW CONNECTED TO BOAT ROCKERZ 255 TWICE )2- You get a cracking sound when ideal or just before you dial a number on dial pad3 - Battery life is not accurateSometimes it work hours with 40-60 % battery while sometime it is dead on 80%So Dont rely on the battery indicator  at all but the battery once charged for 2-3 hours works constantly for 5-6 hours on normal volume.I hope this was of some help do mark it helpful  if so...Overall you should go for it when you get a exciting deal on this product
",4,boAt Rockerz 255,product great intial real test month useso review product two month earphon drive rich sound qualiti inspit neck band make much durabl flat wire durabl magnet save loos degre tilt earbud fit right ear check degre tilt earphon day weather comfort come pair extra bud small big medium one alreadi connect dual phone easi shown connect earphon phone usual disconnect phone switch bluetooth phone connect earphon phone b switch earphon switch back open bluetooth set phone b pair devic list select boat rocker devic earphon get hear connect boat rockerz twice get crack sound ideal dial number dial batteri life accuratesometim work hour batteri sometim dead dont reli batteri indic batteri charg hour work constantli hour normal hope help mark help overal go get excit deal product,16,1562,0.18809523809523807,0.4033730158730159,positive,negative
"Just received the product and one side of the earphone is not working
","Don't you guys check the product before selling ? just received the product and one side of the earphone is working and the other is not !
",5,boAt Rockerz 255,guy check product sell receiv product one side earphon work,70,139,0.0,0.0,positive,positive
"Satisfied totally
","Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!
",5,boAt Rockerz 255,got today realli love product awesom sound think buy airpod friend suggest spend much order realli amaz look good great sound doesnt hurt ua ear total satisfi couldnt say batteri got today,18,347,0.42857142857142855,0.5285714285714286,positive,positive
"Don't buy
","Rightside speaker stop working within 20 days.
",1,boAt Rockerz 255,rightsid speaker stop work within day,10,47,0.0,0.0,negative,negative
"Unable to connect two devices simultaneously
","Overall good!But I am unable to connect two devices simultaneously. Please Guide how can i do that.Thank you!
",4,boAt Rockerz 255,overal good unabl connect two devic simultan pleas guid,45,110,0.7,0.6000000000000001,positive,positive
"Read carefully!!!
","I just brought it in last week, and to be very frank,it's really Awesome. Beyond my expectations.Sound quality is like having your own personal home theatre,too clear and loud enough, you can listen every single bit of music.And coming to battery backup, they said it's 6hrs but it's more than that, for me it's working near about one and more.I will say,Go for it.
",5,boAt Rockerz 255,brought last week frank realli awesom beyond qualiti like person home theatr clear loud enough listen everi singl bit come batteri backup said work near one say go,18,366,0.06000000000000001,0.43,positive,positive
"Defective product
","Defective product. Not working, had to return the defective product.
",1,boAt Rockerz 255,defect product work return defect product,18,69,0.0,0.0,negative,negative
"Dont buy it.
","Although sound quality is good, but then whats a purpose of buying a wireless earphone when its controls (buttons) doesn't work. I bought this product withing a week controls where stop responding cant switch on or do anything.replaced it got refund bought another piece different color that worn out in a day.Both the time seller was "" Appario Retail Private Ltd"". So i leave it to your wisdom whether you want to buy this or not. I will never buy this brand at least from this platform.
",1,boAt Rockerz 255,although sound qualiti good what purpos buy wireless earphon control button work bought product with week control stop respond cant switch got refund bought anoth piec differ color worn time seller appario retail privat ltd leav wisdom whether want buy never buy brand least platform,13,489,0.26666666666666666,0.4666666666666666,negative,negative
"Really boat beating all others in the price range of 5 or 6k
","I am a prime customer of Amazon and I always purchase a product after so much research bought these boat rokerz in the sale in 1099 and trust me I am blown away by these I have used sony and other headphones in the price range of 5 & 6k but this is just similar to them in this price range ""sound quality"" 10/10 ""battery life"" seems good not tested for as described but will update soon ""durability"" 10/10 perfect fit no pain no discomfort.... Really boat has done a fantastic job with amazing music quality with superb bass in all highs mids &lows ..... Just go for it.
",5,boAt Rockerz 255,prime custom amazon alway purchas product much research bought boat rokerz sale trust blown away use soni headphon price rang similar price rang sound qualiti batteri life seem good test describ updat soon durabl perfect fit pain discomfort realli boat done fantast job amaz music qualiti superb bass high mid low go,61,571,0.3372727272727273,0.4854545454545454,positive,positive
"Not so good
","Battery is faulty
",1,boAt Rockerz 255,batteri faulti,12,18,0.0,0.0,negative,negative
"Really Cheep Quality
","Boat blue tooth 255, ye doubt Voice quality is amazing for 30 days or so you will be big FAN or Boat but after 30days.. voice from of the side going down and even after 35 days you will not be able to hear anything from one sideBoat Service on same again so pathetic , raise an complaint almost 10days back  for replacement or rapair but after 10days its reaches to their rapir center, not sure how many more days Boat will take to repair... Big Suggestion DO NOT BUY THIS
",2,boAt Rockerz 255,boat blue tooth ye doubt voic qualiti amaz day big fan boat voic side go even day abl hear anyth one sideboat servic pathet rais complaint almost back replac rapair reach rapir center sure mani day boat take repair big suggest buy,21,473,0.014285714285714282,0.2126984126984127,negative,negative
"Awesome bass and battery life
","Awesome bass. This is even at low volume. So if bass is your thing these are the earphones for you. Really like the sound. There could be more clarity but nonetheless these are good.Great battery life as well. Lasts about 5-6 hours.The only grouse is that they are not very comfortable. I changed the plugs to the smallest but my ears still hurt. Maybe just takes getting used to.Spent 999 for it on the great Indian sale. Definitely worth it.
",5,boAt Rockerz 255,awesom bass even low volum bass thing earphon realli like sound could clariti nonetheless batteri life well last grous comfort chang plug smallest ear still hurt mayb take get use great indian sale definit worth,30,444,0.17142857142857143,0.3738095238095238,positive,positive
"Review update - Product failed after a few months
","Update: Sadly this is the second Boat product to conk off after few months of use. I guess this is the end of the journey for you and I Boat Audio, not buying any more products from your brand. Changed the rating to reflect the same.I was in the market for a cheap pair of Bluetooth earphones and I chanced upon this on a lightning deal and bought it. I have used Boat products before, they have good build quality and their sound is alright. I’m writing this after a month or so, enough time to have lived with it and get to know quirks and other problems.• The sound is nothing great, it’s a bit on the bassy side. If you’re a bass lover, this is definitely a good buy.• Connectivity is quick and painless – and it works without hassle every time. The quality of the connectivity depends and is sometimes weird. I can put the phone on charge and use it for a distance of about 3 meters, no worries. But sometimes when I’m walking really fast or jogging there are breaks and crackles in audio. Not sure if it’s the material of my gym wear, but it works well when the phone’s in my jeans.• Battery life is nothing to write home about – I listen to music constantly even when I’m at work. My demands are probably too high for this price range.• It is sweat-proof as advertised. No interruptions under a light drizzle.• It’s got great build quality for the price – looks and feels premium. Doesn’t tangle at all.• It stays in your ear regardless of the intensity of the exercise which is great.On the whole a great buy if you are looking for a cheaper alternative. Wait for a sale before you get it though.Like my reviews? Please do click the helpful button. It encourages me to share more about the products I use. Thanks!
",1,boAt Rockerz 255,updat sadli second boat product conk month use guess end journey boat audio buy product brand chang rate reflect market cheap pair bluetooth earphon chanc upon lightn deal bought use boat product good build qualiti sound alright write month enough time live get know quirk sound noth great bit bassi side bass lover definit good connect quick painless work without hassl everi time qualiti connect depend sometim weird put phone charg use distanc meter worri sometim walk realli fast jog break crackl audio sure materi gym wear work well phone batteri life noth write home listen music constantli even work demand probabl high price advertis interrupt light got great build qualiti price look feel premium tangl stay ear regardless intens exercis whole great buy look cheaper altern wait sale get review pleas click help button encourag share product use thank,50,1722,0.33051036682615625,0.5830994152046783,negative,positive
"Ok quality
","The headphones were good at the beginning but after a week getting disturbance on left side earpiece which stays for sometime
",1,boAt Rockerz 255,headphon good begin week get disturb left side earpiec stay sometim,11,126,0.35,0.30000000000000004,negative,negative
"Good sound quality
","Audio quality is pretty good and the way it speaks bye amigos when turning it off is also unique.It's durable and designed right.It has mic opening towards down and engraved and rest of the headphone is completely covered,which makes it water resistant I guess.Only things is that it looks weird when you leav it hanging around the neck unlike some other bluetooth headphones which have hard collar kind thing and then a wire stretching out of it. As it hangs too low from neck and the those hard collar kind ones look like small neck accessory when left hanging.Either way I liked the product and it does the job. Battery back is also really good.
",4,boAt Rockerz 255,audio qualiti pretti good way speak bye amigo turn also durabl design mic open toward engrav rest headphon complet cover make water resist thing look weird leav hang around neck unlik bluetooth headphon hard collar kind thing wire stretch hang low neck hard collar kind one look like small neck accessori left way like product job batteri back also realli good,19,649,0.10555555555555556,0.5236111111111111,positive,positive
"Amazing product. Just go for it.
","Close your eyes and just go for it. It is amazing at its price. I have got it at a festival sale which costs me 999 rupees. There is everything perfect in these bluetooth earphones. The bass is amazing even more than sony and jbl bt earphones. The sound is crystal clear. Mic quality is decent and battery life is about 6-7 hours of playback. Noise cancellation is pretty enough. I am very impressed from these earphones. And at last these earphones are stereo supported so you can enjoy 360 songs and also play pubg with these bluetooth earphones. Really i love boat.
",5,boAt Rockerz 255,close eye go amaz price got festiv sale cost rupe everyth perfect bluetooth earphon bass amaz even soni jbl bt earphon sound crystal clear mic qualiti decent batteri life hour playback nois cancel pretti enough impress earphon last earphon stereo support enjoy song also play pubg bluetooth earphon realli love boat,33,569,0.26851851851851855,0.512962962962963,positive,positive
"Frequent failures.
","The item has been rendered defective three times in less than two months of usage. The first two times was due to charging issue and the third time due to sound distortion. Being under warranty, the item has been repaired the first two times and now I have registered a compliant for the third failure. The product has spent more time at the service centre than I have used it. Am completely dissatisfied with the reliability of the product.
",1,boAt Rockerz 255,item render defect three time less two month usag first two time due charg issu third time due sound distort warranti item repair first two time regist compliant third failur product spent time servic centr use complet dissatisfi reliabl product,19,442,0.0425925925925926,0.22037037037037036,negative,negative
"Puchase it for sub 1000 price during offers otherwise it will be too expensive for its quality.
","Purchased it for 999. And the price does justifies its quality but for music purposes it does lags. Bass is still justified for its price. Basic functions dont work as desired like overriding the use of buttons.  The startup and shutting down voice is very annoying. Could have kept very subtle.And also battery drains out quickly.  The microphone is the worst.  The person at the other end wont be able to hear you clearly. The built quality is very cheap.  Dont expect it to be durable for long just keep it safe.Also when I used it during running the audio started to interrupt regularly which was very very annoying. I had to abstain from using it during morning jog.  After this experience am giving it only 2 stars.
",2,boAt Rockerz 255,purchas price justifi qualiti music purpos lag bass still justifi price basic function dont work desir like overrid use button startup shut voic annoy could kept also batteri drain quickli microphon worst person end wont abl hear clearli built qualiti cheap dont expect durabl long keep use run audio start interrupt regularli annoy abstain use morn jog experi give star,96,722,-0.15999999999999998,0.545,negative,negative
"Average product
","The reason for this being an average product is that the pros are excellent but the cons also work against it.Pros:>Good noise cancellation>Excellent sound quality>Range is not bad>Good battery lifeCons:>The soft earbuds have a very small hole in it, so when you wear a helmet over it and if there is a slight change in the angle of the earpiece you are unable to hear anything from that earpiece unless you correct the angle.>Durability: The left earpiece of my headphones stopped working within 2 months of use. The company repaired it and gave it back, but the time taken for the same was long. Also, the left earpiece projects lower sound than the right one.>It does not inform when the Bluetooth gets disconnected after going out of range.>Becomes useless after the battery reaches 20%. It keeps informing 'Oops! Battery low!' after every minute for the next 10 minutes and then switches off.
",3,boAt Rockerz 255,reason averag product pro excel con also work good nois cancel excel sound qualiti rang bad good batteri lifecon soft earbud small hole wear helmet slight chang angl earpiec unabl hear anyth earpiec unless correct durabl left earpiec headphon stop work within month use compani repair gave back time taken long also left earpiec project lower sound right inform bluetooth get disconnect go becom useless batteri reach keep inform batteri low everi minut next minut switch,16,898,0.05744047619047621,0.3136904761904762,neutral,negative
"Great earphones fir bass, MIC has no noise cancellation
","Its grear earphones. I was sceptical when i bought it for 1499, as price was so less for wireless ear phones. Bass is on point and battery life is approx 8-9 hours. You hardly feel it in your ears.  Mic picks up all the noise so thats one minus but you can still hear the the sound. Mic is very sensitive so you can speak almost for yourself and still other person will get you.
",5,boAt Rockerz 255,grear earphon sceptic bought price less wireless ear phone bass point batteri life approx hour hardli feel ear mic pick nois that one minu still hear sound mic sensit speak almost still person get,56,379,0.02777777777777779,0.32222222222222224,positive,positive
"No Second Thought.....Just Go for It.........
","I got this product by 03/12/18 by 04:45 PM. Immediately opened the package to see how the condition was, however it came in a well packed box and on top of it Amazon's insulated cover with invoice. Opened the headphone and put charging through laptop for a few minutes and started using it.Pros:1. Connecting to my new OnePlust 6T within no time and giving a sound with a bold voice stating ""You are now connected to Boat Rocerz 255""2. Base is really awesome, able to hear vocals properly, well mounted ear tips helps you to use the headphone for longer time3. Call quality is fine and more over noise cancellation is ok4. Music is so good to listen while driving.Cons:1. Multi-functional is not so compatible to my phone (it's my assumption), where I could not able to got to the next song or previous song.2. Noise Cancellation is not that much awesome but yeah can able to listen our voice properly by the other side.3. If we give pause for 5 minutes to the song while listening through this, you should go back again to your phone to replay it againOverall it's a satisfactory deal and worth every rupee we spend on it. As this is my second product from Boat I strongly recommend this.
",4,boAt Rockerz 255,got product pm immedi open packag see condit howev came well pack box top amazon insul cover invoic open headphon put charg laptop minut start use connect new oneplust within time give sound bold voic state connect boat rocerz base realli awesom abl hear vocal properli well mount ear tip help use headphon longer call qualiti fine nois cancel music good listen compat phone assumpt could abl got next song previou nois cancel much awesom yeah abl listen voic properli give paus minut song listen go back phone replay againoveral satisfactori deal worth everi rupe spend second product boat strongli recommend,46,1190,0.15616883116883115,0.3872294372294372,positive,positive
"SUPERB
","Sound quality is good. noise cancellation is not upto the mark. battery quality is decent. by charging it once you can enjoy upto 5hrs of music without any issue
",4,boAt Rockerz 255,sound qualiti good nois cancel upto mark batteri qualiti decent charg enjoy upto music without issu,7,162,0.41666666666666674,0.5416666666666666,positive,positive
"Just go for it
","Awesome best budget wireless earphones
",5,boAt Rockerz 255,awesom best budget wireless earphon,15,39,1.0,0.3,positive,positive
"Good bluetooth headset if its under 1K.
","Product design is good and very durable. The best feature is the sound quality and its design. However what i didn't liked is the battery backup. Its up hardly for 3 to 4 hrs if continuously powered on which requires to be charged atleast 2x a day. Overall I would say , its a good deal only if its under 1K or max 1.2K inr.. otherwise I wont recommend it.
",5,boAt Rockerz 255,product design good durabl best featur sound qualiti design howev like batteri backup hardli hr continu power requir charg atleast day overal would say good deal max inr otherwis wont recommend,40,357,0.7,0.4750000000000001,positive,positive
"A good multipoint option for Rs. 999
","Got this for Rs. 999. A great deal for the price.Bought it socially for multipoint features.Works great with 2 mobiles but I have found that it keeps running into connecting issues with a Windows 10 laptop. It may take a while to connect back with a Windows 10 laptop.Battery is okay. Can't take it off the whole day.Don't expect noise cancellation. Sound is great. You can enjoy bass. Another little annoying thing apart from connecting with Windows Laptop is the crackling sound which I can hear sometime for no reason even in close proximity of the streaming device.
",3,boAt Rockerz 255,got rs great deal social multipoint great mobil found keep run connect issu window laptop may take connect back window okay ca take whole expect nois cancel sound great enjoy bass anoth littl annoy thing apart connect window laptop crackl sound hear sometim reason even close proxim stream devic,37,570,0.3803030303030303,0.45606060606060606,neutral,positive
"Too good in this price... Am so happy,😃😊
","** the product was a perfect purchase... but it is not charging, requested for replacement..Replacement is quick and so prominent... Thank You boAt team...Pros:•Soft feeling wearing this ""boAT Rockerze"" and look also good..•The sound quality is excellent, it's like a premium brands...•I am using just after receiving the product without charging and it is going on and on. The battery lasts for full 2days. Am so happy.•Value for money.Cons:-Not find still now...
",5,boAt Rockerz 255,product perfect purchas charg request replac replac quick promin thank boat team pro feel wear boat rockerz look also good sound qualiti excel like premium brand use receiv product without charg go batteri last full find still,41,465,0.46388888888888885,0.5194444444444445,positive,positive
"Detailed Review
","Pros:charge time 2 hrs and backup is very good full day use (6 hr continuous)two led colors red and blue . while using blue light blinks after every few secs,in-build ringtone (trrrin trrrin type).using in honor 6x show battery icon in 100-80-50-25-0 stages.Gives warning on low battery and when connected or disconnected (human voice).Lightwight,good build quality.i replaced rubber earplugs with piston earphone plugs, the 3 pairs comes with package are not too soft but are fine.you can control volume of pc and mobile depends on which device is currently playing.i am using piston onemore ,music quality is not to that level but is pretty decent. bass is balancedcons:Range is 10m in real world plays well if u are in room , the moment you walk out of room then distortion occurs.mic is very sensitive and works fine so far no complains from other end. i have not used outside the room.when it keep it for charging it gets switch off on it own then have to reconnect it again (not a big issue) ....first i had doubt on it battery,sound quality,mic quality but after using it i am happy even though i have used one more ,boat 255,mi earphone 399 , Samsung earphone, Phillips 249 etc.
",4,boAt Rockerz 255,pro charg time hr backup good full day use hr continu two led color red blue use blue light blink everi sec rington trrrin trrrin type honor show batteri icon warn low batteri connect disconnect human voic good build replac rubber earplug piston earphon plug pair come packag soft control volum pc mobil depend devic current use piston onemor music qualiti level pretti decent bass balancedcon rang real world play well u room moment walk room distort sensit work fine far complain end use outsid keep charg get switch reconnect big issu first doubt batteri sound qualiti mic qualiti use happi even though use one boat mi earphon samsung earphon phillip etc,16,1187,0.17666666666666667,0.41,positive,positive
